Action,TimeSpent(s)
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
DETECT_CAN,0.0000
GRASP_CAN,0.0000
GRASP_CAN,0.0000
GRASP_CAN,0.0000
GRASP_CAN,0.0000
GRASP_CAN,0.0000
GRASP_CAN,0.0000
GRASP_CAN,0.0000
GRASP_CAN,0.0000
GRASP_CAN,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
ROTATE_ARM,0.0000
